Boa Golfklubb Olofström;Blekinge GDF
Carlskrona Golfklubb;Blekinge GDF
Karlshamns Golfklubb;Blekinge GDF
Leråkra Golfklubb;Blekinge GDF
Nicklastorp Golfklubb;Blekinge GDF
Ronneby Golfklubb;Blekinge GDF
Sölvesborgs Golfklubb;Blekinge GDF
Trummenäs Golfklubb;Blekinge GDF
Allmags Golfklubb;Bohuslän-Dals GDF
Brastad Golfklubb;Bohuslän-Dals GDF
Dagsholm Golfklubb;Bohuslän-Dals GDF
Dynekilens Golfklubb;Bohuslän-Dals GDF
Fjällbacka Golfklubb;Bohuslän-Dals GDF
Forsbacka Golfklubb;Bohuslän-Dals GDF
Holma Stångenäs Golfklubb;Bohuslän-Dals GDF
Lyckorna Golfklubb;Bohuslän-Dals GDF
Melleruds Golfklubb;Bohuslän-Dals GDF
Mjölkeröds Golfklubb;Bohuslän-Dals GDF
Norra Backa Golf Fjällbacka;Bohuslän-Dals GDF
Orust Golfklubb;Bohuslän-Dals GDF
Skaftö Golfklubb;Bohuslän-Dals GDF
Sotenäs Golfklubb;Bohuslän-Dals GDF
Stenungsund Golfklubb;Bohuslän-Dals GDF
Strömstad Golfklubb;Bohuslän-Dals GDF
Tjörns Golfklubb;Bohuslän-Dals GDF
Torreby Golfklubb;Bohuslän-Dals GDF
Uddevalla Golfklubb;Bohuslän-Dals GDF
Avesta Golfklubb;Dalarnas GDF
Dalsjö Golfklubb;Dalarnas GDF
Falun-Borlänge Golfklubb;Dalarnas GDF
Furudals-Bruks Golfklubb;Dalarnas GDF
Gagnefs Golfklubb;Dalarnas GDF
Hagge Golfklubb;Dalarnas GDF
Hedemora Golfklubb;Dalarnas GDF
Idrefjällens Golfklubb;Dalarnas GDF
Leksands Golfklubb;Dalarnas GDF
Malungs Golfklubb;Dalarnas GDF
Mora Golfklubb;Dalarnas GDF
Rättviks Golfklubb;Dalarnas GDF
Samuelsdals Golfklubb;Dalarnas GDF
Snöå Golfklubb;Dalarnas GDF
Solön Golfklubb;Dalarnas GDF
Sälenfjällens Golfklubb;Dalarnas GDF
Säters Golfklubb;Dalarnas GDF
Tällbergsbyarnas Golfklubb;Dalarnas GDF
Älvdalens Golfklubb;Dalarnas GDF
Gotska Golfklubb;Gotlands GDF
Gumbalde Resort;Gotlands GDF
Ljugarns Golfklubb;Gotlands GDF
När Golfklubb;Gotlands GDF
Slite Golfklubb;Gotlands GDF
Visby Golfklubb;Gotlands GDF
Alfta-Edsbyns Golfklubb;Gästrike-Hälsinge GDF
Bollnäs Golfklubb;Gästrike-Hälsinge GDF
Gävle Golfklubb;Gästrike-Hälsinge GDF
Hasselabygdens Golfklubb;Gästrike-Hälsinge GDF
Hofors Golfklubb;Gästrike-Hälsinge GDF
Hudiksvalls Golfklubb;Gästrike-Hälsinge GDF
Högbo Golfklubb;Gästrike-Hälsinge GDF
Järvsöbadens Golfklubb;Gästrike-Hälsinge GDF
Ljusdals Golfklubb;Gästrike-Hälsinge GDF
Mackmyra Golf;Gästrike-Hälsinge GDF
SAIK Golfklubb;Gästrike-Hälsinge GDF
Söderhamns Golfklubb;Gästrike-Hälsinge GDF
Sörfjärdens Golfklubb;Gästrike-Hälsinge GDF
Albatross Golfklubb;Göteborgs GDF
Ale Golfklubb;Göteborgs GDF
Backa Säteri IF;Göteborgs GDF
Chalmers Golfklubb;Göteborgs GDF
Delsjö Golfklubb;Göteborgs GDF
Forsgårdens Golfklubb;Göteborgs GDF
Gräppås Golfklubb;Göteborgs GDF
Gullbringa Golf & Country Club;Göteborgs GDF
Göteborgs Golf Klubb;Göteborgs GDF
Hills Golf & Sports Club;Göteborgs GDF
Hills Golfklubb;Göteborgs GDF
Kungsbacka Golfklubb;Göteborgs GDF
Kungälv-Kode Golfklubb;Göteborgs GDF
Lerjedalens Golfklubb;Göteborgs GDF
Lunna Golf & Country Club;Göteborgs GDF
Lycke Golf & Country Club Marstrand;Göteborgs GDF
Lysegårdens Golfklubb;Göteborgs GDF
Lökeberg Golfklubb;Göteborgs GDF
Myra Golfklubb;Göteborgs GDF
Mölndals Golfklubb;Göteborgs GDF
Partille Golfklubb;Göteborgs GDF
S:t Jörgen Park Golf Club;Göteborgs GDF
Sisjö Golfklubb;Göteborgs GDF
Sjögärde Golfklubb;Göteborgs GDF
Stora Lundby Golfklubb;Göteborgs GDF
Särö Golf Club;Göteborgs GDF
Torrekulla Golfklubb;Göteborgs GDF
Torslanda Golfklubb;Göteborgs GDF
Vallda Golf & Country Club;Göteborgs GDF
World of Golf City Club;Göteborgs GDF
Öijared Golfklubb;Göteborgs GDF
Björnhults Golfklubb;Hallands GDF
Falkenbergs Golfklubb;Hallands GDF
Flygstadens Golfklubb;Hallands GDF
Halmstad Golfarena;Hallands GDF
Halmstad Golfklubb;Hallands GDF
Harabäckens Golfklubb;Hallands GDF
Haverdals Golfklubb;Hallands GDF
Hofgårds Golfklubb;Hallands GDF
Holms Golfklubb;Hallands GDF
Klosterfjordens Golfklubb;Hallands GDF
Laholms Golfklubb;Hallands GDF
Ringenäs Golfklubb;Hallands GDF
Rydö Golfklubb;Hallands GDF
Skogaby Golfklubb;Hallands GDF
Strandtorps Golfklubb;Hallands GDF
Tönnersjö Golfklubb;Hallands GDF
Ullared Flädje Golfklubb;Hallands GDF
Varbergs Golfklubb;Hallands GDF
Vinbergs Golfklubb;Hallands GDF
Funäsfjällens Golfklubb;Jämtland-Härjedalens GDF
Hede-Vemdalens Golfklubb;Jämtland-Härjedalens GDF
Klövsjö-Vemdalens Golfklubb;Jämtland-Härjedalens GDF
Norderöns Golfklubb/Njord;Jämtland-Härjedalens GDF
Rossöns Golfklubb;Jämtland-Härjedalens GDF
Sandnäset Golf;Jämtland-Härjedalens GDF
Storsjöbygdens Golfklubb;Jämtland-Härjedalens GDF
Strömsunds Golfklubb;Jämtland-Härjedalens GDF
Svegs Golfklubb;Jämtland-Härjedalens GDF
Åre Golfklubb;Jämtland-Härjedalens GDF
